scenario,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_radius,selected_is_planted_group,n_search_cells
null,split_search_naive,0.8,13,False,x0>1.5,"[0.86, 1.00]",0.056688235982399644,1.4837026616190871,1.004761679900384,False,564
null,split_search_certified,0.8,13,False,x0>1.5,"[0.86, 1.00]",0.056688235982399644,1.4837026616190871,1.004761679900384,False,564
planted,same_data_search,0.8,13,True,x0>2,"[0.14, 0.29]",0.7814985473720608,2.4427354887672372,1.384444709327977,False,583
planted,full_family_simultaneous,0.8,13,True,x1<1,"[0.14, 0.29]",0.5322757790324292,49.46664472059296,0.30765048934483524,False,583
planted,split_search_naive,0.8,13,False,x2>1,"[0.00, 0.14]",0.12914007769342978,1.9982279179671492,0.8657928402862701,False,564
planted,split_search_certified,0.8,13,False,x2>1,"[0.00, 0.14]",0.12914007769342978,1.9982279179671492,0.8657928402862701,False,564
null,same_data_search,0.8,14,True,x1>1 & x2>1,"[0.71, 0.86]",0.6545717952342021,1.6932965216132343,1.656832682812268,False,545
null,full_family_simultaneous,0.8,14,False,x1>1 & x2>1,"[0.71, 0.86]",0.6545717952342021,1.6932965216132343,1.656832682812268,False,545
null,split_search_naive,0.8,14,False,x1>1 & x2>1,"[0.71, 0.86]",0.1718569575042982,1.0,1.2238734153404083,False,540
null,split_search_certified,0.8,14,False,x1>1 & x2>1,"[0.71, 0.86]",0.1718569575042982,1.0,1.2238734153404083,False,540
planted,same_data_search,0.8,14,True,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.6218936435066577,3.662767917128466,1.1265240303849127,False,545
planted,full_family_simultaneous,0.8,14,False,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.6218936435066577,3.662767917128466,1.1265240303849127,False,545
planted,split_search_naive,0.8,14,True,x0>1.5,"[0.14, 0.29]",0.37190883757913784,6.0294601966816845,0.4984220934932121,False,540
planted,split_search_certified,0.8,14,False,x0>1.5,"[0.14, 0.29]",0.37190883757913784,6.0294601966816845,0.4984220934932121,False,540
null,same_data_search,0.8,15,True,x1>1 & x3>1,"[0.29, 0.43]",0.6067100868969632,1.048515910842769,2.116558765415062,False,601
null,full_family_simultaneous,0.8,15,False,x1>1 & x3>1,"[0.29, 0.43]",0.6067100868969632,1.048515910842769,2.116558765415062,False,601
null,split_search_naive,0.8,15,True,x2>1.5,"[0.71, 0.86]",0.24356190909794928,1.0,1.2238734153404083,False,573
null,split_search_certified,0.8,15,False,x2>1.5,"[0.71, 0.86]",0.24356190909794928,1.0,1.2238734153404083,False,573
planted,same_data_search,0.8,15,True,x0>1,"[0.14, 0.29]",0.7742203997902775,5.245792255707486,0.9462639602976753,False,601
planted,full_family_simultaneous,0.8,15,False,x0>1,"[0.14, 0.29]",0.7742203997902775,5.245792255707486,0.9462639602976753,False,601
planted,split_search_naive,0.8,15,True,x0>1 & x1>1,"[0.14, 0.29]",0.7618177361104264,1.6026434109751697,0.9667586132770781,False,573
planted,split_search_certified,0.8,15,False,x0>1 & x1>1,"[0.14, 0.29]",0.7618177361104264,1.6026434109751697,0.9667586132770781,False,573
null,same_data_search,0.8,16,True,x2>2,"[0.57, 0.71]",0.5887697510496711,2.8265513122784145,1.2885349836807645,False,596
null,full_family_simultaneous,0.8,16,False,x2>2,"[0.57, 0.71]",0.5887697510496711,2.8265513122784145,1.2885349836807645,False,596
null,split_search_naive,0.8,16,False,x2>1,"[0.14, 0.29]",0.022077150629264065,6.27346983198891,0.4886327754873991,False,573
null,split_search_certified,0.8,16,False,x2>1,"[0.14, 0.29]",0.022077150629264065,6.27346983198891,0.4886327754873991,False,573
planted,same_data_search,0.8,16,True,x0>1 & x2>1,"[0.00, 0.14]",0.874872214667049,2.8373170419662403,1.286088094081178,False,596
planted,full_family_simultaneous,0.8,16,False,x0>1 & x2>1,"[0.00, 0.14]",0.874872214667049,2.8373170419662403,1.286088094081178,False,596
planted,split_search_naive,0.8,16,True,x1>2,"[0.29, 0.43]",0.2959586077665745,1.8425771288447759,0.9016202623978714,False,573
planted,split_search_certified,0.8,16,False,x1>2,"[0.29, 0.43]",0.2959586077665745,1.8425771288447759,0.9016202623978714,False,573
null,same_data_search,0.8,17,True,x1>1 & x2>1,"[0.14, 0.29]",0.48536769761831206,3.449337988041812,1.1657960063004975,False,590
null,full_family_simultaneous,0.8,17,False,x1>1 & x2>1,"[0.14, 0.29]",0.48536769761831206,3.449337988041812,1.1657960063004975,False,590
null,split_search_naive,0.8,17,False,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.024090982462581387,5.384032452765938,0.5274516639908778,False,577
null,split_search_certified,0.8,17,False,x0>0.5 & x2>0.5,"[0.29, 0.43]",0.024090982462581387,5.384032452765938,0.5274516639908778,False,577
planted,same_data_search,0.8,17,True,x0>1,"[0.00, 0.14]",0.89105530317654,1.973712696359247,1.5411626362583002,False,590
planted,full_family_simultaneous,0.8,17,False,x0>1,"[0.00, 0.14]",0.89105530317654,1.973712696359247,1.5411626362583002,False,590
