group,bin,weighted_gap,abs_weighted_gap,target_gap,abs_target_gap,local_ess,estimated_target_mass,source_n,target_n,ci_half_width,certified_excess,naive_alarm,certified_alarm,matches_target_direction
workclass=Self-emp-inc,"[0.83, 1.00]",-0.03213619494999076,0.03213619494999076,-0.038389058124593194,0.038389058124593194,63.44722136375488,0.018809916752692536,83,163,0.2506542293225829,0.0,False,False,True
age>40,"[0.17, 0.33]",0.03187726600834066,0.03187726600834066,0.02468241934210485,0.02468241934210485,463.67564000844175,0.10037614225282528,559,1215,0.092720165992524,0.0,False,False,True
education-num>=13,"[0.67, 0.83]",-0.03131745035640059,0.03131745035640059,-0.02531848953408697,0.02531848953408697,278.3513073582817,0.0705629603360597,355,766,0.11966983928554452,0.0,False,False,True
age>40,"[0.50, 0.67]",-0.0312367199212697,0.0312367199212697,-0.019499240669151794,0.019499240669151794,175.23534609506706,0.06347169284065801,289,710,0.1508240106452077,0.0,False,False,True
age>30,"[0.33, 0.50]",0.031071239310464085,0.031071239310464085,0.027998444560679323,0.027998444560679323,467.420517398748,0.10383355445534835,616,1203,0.09234799156337004,0.0,False,False,True
race=White,"[0.50, 0.67]",-0.030783835594643313,0.030783835594643313,0.00038348245241559906,0.00038348245241559906,283.87433593705106,0.08548972922887495,487,1012,0.11849997940158134,0.0,False,False,False
age<=50,"[0.67, 0.83]",-0.03026387495765568,0.03026387495765568,-0.019972245504249888,0.019972245504249888,284.5530952089216,0.060050411119867184,358,719,0.1183585629425593,0.0,False,False,True
education=Bachelors,"[0.50, 0.67]",0.029655046526447522,0.029655046526447522,0.02898683584964941,0.02898683584964941,189.02966893060383,0.037800179025957205,231,427,0.14521662988432596,0.0,False,False,True
age>60,"[0.17, 0.33]",-0.02942409798489532,0.02942409798489532,-0.07328879452718193,0.07328879452718193,64.43459376816463,0.01797684949884791,76,228,0.24872634790552858,0.0,False,False,True
sex=Female,"[0.83, 1.00]",-0.02868767446942752,0.02868767446942752,-0.05599018587349284,0.05599018587349284,47.577322405424624,0.010315778431912207,71,120,0.28945519074355924,0.0,False,False,True
Male & education-num>=13,"[0.17, 0.33]",0.027121126184052224,0.027121126184052224,0.025513018459366436,0.025513018459366436,125.98984295917649,0.024334280168984816,157,289,0.17787445121681722,0.0,False,False,True
race=White,"[0.33, 0.50]",0.025672175174384353,0.025672175174384353,0.027364732582406494,0.027364732582406494,473.49285417553654,0.1022248194254235,649,1174,0.09175391963262004,0.0,False,False,True
education-num>=13,"[0.33, 0.50]",0.025018229716834782,0.025018229716834782,0.009444030707795578,0.009444030707795578,106.50127746436328,0.02728141832055733,155,292,0.19346567901308312,0.0,False,False,True
education=HS-grad,"[0.17, 0.33]",0.024133789239922092,0.024133789239922092,0.04319238815294165,0.04319238815294165,458.9544837052717,0.07477376193682624,574,906,0.09319584105004362,0.0,False,False,True
Female & education-num>=13,"[0.00, 0.17]",0.023499593207319265,0.023499593207319265,0.012320737916076512,0.012320737916076512,286.5861264239089,0.037672972924658134,405,495,0.11793800015126808,0.0,False,False,True
hours>55,"[0.33, 0.50]",0.023220860476554025,0.023220860476554025,-0.105021802310731,0.105021802310731,70.7956166027101,0.022428227423462906,90,202,0.23728930054628156,0.0,False,False,False
age>30,"[0.50, 0.67]",-0.023079491289682303,0.023079491289682303,0.000979582112690409,0.000979582112690409,285.77326865756675,0.08743819848515709,471,1026,0.11810561335271834,0.0,False,False,False
sex=Male,"[0.17, 0.33]",0.02195345792952592,0.02195345792952592,0.03824327224662196,0.03824327224662196,794.8204448976483,0.14094835383416182,1029,1684,0.07081851660576714,0.0,False,False,True
education=Bachelors,"[0.33, 0.50]",0.021411406729457454,0.021411406729457454,0.05948746240155432,0.05948746240155432,74.91833059091323,0.01906642626843038,111,199,0.23066797062560457,0.0,False,False,True
