scenario,weight_mode,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_label_radius,selected_weight_radius,global_ess,weight_rmse,log_weight_corr,selected_is_planted_group
null,logistic_crossfit,naive_max,1.2,60,True,x0>1 & x2>1,"[0.57, 0.71]",0.583976291924635,3.2965236523849,0.9155916802156411,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,False
null,logistic_crossfit,label_ci,1.2,60,False,x0>1 & x2>1,"[0.57, 0.71]",0.583976291924635,3.2965236523849,0.9155916802156411,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,False
null,logistic_crossfit,nuisance_ci,1.2,60,False,x0>1 & x2>1,"[0.57, 0.71]",0.583976291924635,3.2965236523849,0.9155916802156411,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,False
planted,logistic_crossfit,naive_max,1.2,60,True,x0>1 & x1>1,"[0.00, 0.14]",0.9369083797620621,4.151141873213363,0.8159173110432888,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,False
planted,logistic_crossfit,label_ci,1.2,60,True,x0>0.5,"[0.00, 0.14]",0.7485137972248946,13.533758362325864,0.45187750968892076,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,True
planted,logistic_crossfit,nuisance_ci,1.2,60,False,x0>1 & x1>1,"[0.00, 0.14]",0.9369083797620621,4.151141873213363,0.8159173110432888,1.0,95.27506260286708,11.35501536357372,0.9644284750123417,False
null,oracle,naive_max,1.2,61,True,x0>1.5 & x2>1,"[0.29, 0.43]",0.4732366454936869,1.2872494737182099,1.4584882130824368,0.0,58.28439637737984,0.0,1.0,False
null,oracle,label_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.4732366454936869,1.2872494737182099,1.4584882130824368,0.0,58.28439637737984,0.0,1.0,False
null,oracle,nuisance_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.4732366454936869,1.2872494737182099,1.4584882130824368,0.0,58.28439637737984,0.0,1.0,False
planted,oracle,naive_max,1.2,61,True,x0>1.5 & x2>1,"[0.00, 0.14]",0.9209476571375877,1.1413118171322736,1.5489312012432384,0.0,58.28439637737984,0.0,1.0,False
planted,oracle,label_ci,1.2,61,False,x0>1.5 & x2>1,"[0.00, 0.14]",0.9209476571375877,1.1413118171322736,1.5489312012432384,0.0,58.28439637737984,0.0,1.0,False
planted,oracle,nuisance_ci,1.2,61,False,x0>1.5 & x2>1,"[0.00, 0.14]",0.9209476571375877,1.1413118171322736,1.5489312012432384,0.0,58.28439637737984,0.0,1.0,False
null,logistic_plugin,naive_max,1.2,61,True,x0>1.5 & x2>1,"[0.29, 0.43]",0.4840345952284401,1.259014678619604,1.4770602114868636,0.37199737190181564,101.96287313947188,2.050539560505857,0.9940606046013934,False
null,logistic_plugin,label_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.4840345952284401,1.259014678619604,1.4770602114868636,0.37199737190181564,101.96287313947188,2.050539560505857,0.9940606046013934,False
null,logistic_plugin,nuisance_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.4840345952284401,1.259014678619604,1.4770602114868636,0.37199737190181564,101.96287313947188,2.050539560505857,0.9940606046013934,False
planted,logistic_plugin,naive_max,1.2,61,True,x0>1.5,"[0.00, 0.14]",0.8413325826682782,1.4028509795640052,1.399290308796468,1.0,101.96287313947188,2.050539560505857,0.9940606046013934,False
planted,logistic_plugin,label_ci,1.2,61,False,x0>1.5,"[0.00, 0.14]",0.8413325826682782,1.4028509795640052,1.399290308796468,1.0,101.96287313947188,2.050539560505857,0.9940606046013934,False
planted,logistic_plugin,nuisance_ci,1.2,61,False,x0>1.5,"[0.00, 0.14]",0.8413325826682782,1.4028509795640052,1.399290308796468,1.0,101.96287313947188,2.050539560505857,0.9940606046013934,False
null,logistic_crossfit,naive_max,1.2,61,True,x0>1.5 & x2>1,"[0.29, 0.43]",0.472999139379087,1.2885089705807182,1.4600572090042925,0.10634956931205983,106.27728245602458,2.0569592327439032,0.9916459694860926,False
null,logistic_crossfit,label_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.472999139379087,1.2885089705807182,1.4600572090042925,0.10634956931205983,106.27728245602458,2.0569592327439032,0.9916459694860926,False
null,logistic_crossfit,nuisance_ci,1.2,61,False,x0>1.5 & x2>1,"[0.29, 0.43]",0.472999139379087,1.2885089705807182,1.4600572090042925,0.10634956931205983,106.27728245602458,2.0569592327439032,0.9916459694860926,False
planted,logistic_crossfit,naive_max,1.2,61,True,x0>1.5,"[0.00, 0.14]",0.8264877543149018,1.4632835280268874,1.3700908131317866,1.0,106.27728245602458,2.0569592327439032,0.9916459694860926,False
planted,logistic_crossfit,label_ci,1.2,61,False,x0>1.5,"[0.00, 0.14]",0.8264877543149018,1.4632835280268874,1.3700908131317866,1.0,106.27728245602458,2.0569592327439032,0.9916459694860926,False
planted,logistic_crossfit,nuisance_ci,1.2,61,False,x0>1.5,"[0.00, 0.14]",0.8264877543149018,1.4632835280268874,1.3700908131317866,1.0,106.27728245602458,2.0569592327439032,0.9916459694860926,False
null,oracle,naive_max,1.2,62,True,x0>1.5 & x2>1.5,"[0.57, 0.71]",0.7077246643800713,1.105949896637404,1.5697103561282586,0.0,23.492494092604925,0.0,1.0,False
null,oracle,label_ci,1.2,62,False,x0>1.5 & x2>1.5,"[0.57, 0.71]",0.7077246643800713,1.105949896637404,1.5697103561282586,0.0,23.492494092604925,0.0,1.0,False
null,oracle,nuisance_ci,1.2,62,False,x0>1.5 & x2>1.5,"[0.57, 0.71]",0.7077246643800713,1.105949896637404,1.5697103561282586,0.0,23.492494092604925,0.0,1.0,False
