scenario,method,shift_strength,seed,alarm,abstained,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_ci_half_width,global_ess,n_cells,n_eligible_cells,selected_is_planted_group
planted,global_ess_gate,0.4,191,True,False,x0>1.5,"[0.00, 0.14]",0.89335463915146,8.471190909135293,0.5671723036767585,641.4579176004112,104,104,False
planted,local_ess_gate,0.4,191,True,False,x0>1,"[0.00, 0.14]",0.8289066423968672,27.099250229180864,0.31710903215924013,641.4579176004112,104,63,False
planted,simultaneous_ci,0.4,191,True,False,x0>1.5,"[0.00, 0.14]",0.89335463915146,8.471190909135293,0.5671723036767585,641.4579176004112,104,104,False
null,naive_max,0.4,192,True,False,x2<-0.5,"[0.57, 0.71]",0.319585068054421,18.01379328573248,0.3845069589991545,620.3831715610667,91,91,False
null,global_ess_gate,0.4,192,True,False,x2<-0.5,"[0.57, 0.71]",0.319585068054421,18.01379328573248,0.3845069589991545,620.3831715610667,91,91,False
null,local_ess_gate,0.4,192,True,False,x0>0.5,"[0.43, 0.57]",0.28613343758039744,27.363970439528746,0.311973162456481,620.3831715610667,91,58,True
null,simultaneous_ci,0.4,192,False,False,x2<-0.5,"[0.57, 0.71]",0.319585068054421,18.01379328573248,0.3845069589991545,620.3831715610667,91,91,False
planted,naive_max,0.4,192,True,False,x0>1.5,"[0.00, 0.14]",0.6697850008911688,14.525706149206725,0.4281916209191855,620.3831715610667,91,91,False
planted,global_ess_gate,0.4,192,True,False,x0>1.5,"[0.00, 0.14]",0.6697850008911688,14.525706149206725,0.4281916209191855,620.3831715610667,91,91,False
planted,local_ess_gate,0.4,192,True,False,x0>1,"[0.00, 0.14]",0.6695625697757729,22.52218478243051,0.3438757360742886,620.3831715610667,91,58,False
planted,simultaneous_ci,0.4,192,True,False,x0>1.5,"[0.00, 0.14]",0.6697850008911688,14.525706149206725,0.4281916209191855,620.3831715610667,91,91,False
null,naive_max,0.4,193,True,False,x1>1.5,"[0.57, 0.71]",0.28720927896842113,7.469953931142026,0.6019722423369,627.3763418367903,100,100,False
null,global_ess_gate,0.4,193,True,False,x1>1.5,"[0.57, 0.71]",0.28720927896842113,7.469953931142026,0.6019722423369,627.3763418367903,100,100,False
null,local_ess_gate,0.4,193,False,False,x2<0,"[0.57, 0.71]",0.14398486472411212,57.93381522658384,0.21615702908134232,627.3763418367903,100,56,False
null,simultaneous_ci,0.4,193,False,False,x1>1.5,"[0.57, 0.71]",0.28720927896842113,7.469953931142026,0.6019722423369,627.3763418367903,100,100,False
planted,naive_max,0.4,193,True,False,x0>1 & x2>1,"[0.14, 0.29]",0.7937923730959219,3.1346292040274437,0.9292709051389674,627.3763418367903,100,100,False
planted,global_ess_gate,0.4,193,True,False,x0>1 & x2>1,"[0.14, 0.29]",0.7937923730959219,3.1346292040274437,0.9292709051389674,627.3763418367903,100,100,False
planted,local_ess_gate,0.4,193,True,False,x0>1,"[0.00, 0.14]",0.6995594806828294,34.07693543065236,0.28184164300656894,627.3763418367903,100,56,False
planted,simultaneous_ci,0.4,193,True,False,x0>1.5,"[0.00, 0.14]",0.7563110577650428,17.042679359135185,0.3985350212002412,627.3763418367903,100,100,False
null,naive_max,0.4,194,True,False,x2>1.5,"[0.29, 0.43]",0.3013659224947558,6.225198976008357,0.6632200797067943,633.9020013070486,107,107,False
null,global_ess_gate,0.4,194,True,False,x2>1.5,"[0.29, 0.43]",0.3013659224947558,6.225198976008357,0.6632200797067943,633.9020013070486,107,107,False
null,local_ess_gate,0.4,194,False,False,x1<-0.5,"[0.29, 0.43]",0.17851627343521484,24.9901622571735,0.33101657989409544,633.9020013070486,107,61,False
null,simultaneous_ci,0.4,194,False,False,x2>1.5,"[0.29, 0.43]",0.3013659224947558,6.225198976008357,0.6632200797067943,633.9020013070486,107,107,False
planted,naive_max,0.4,194,True,False,x0>0.5,"[0.00, 0.14]",0.70071555535367,4.347208106135868,0.7936500897537047,633.9020013070486,107,107,True
planted,global_ess_gate,0.4,194,True,False,x0>0.5,"[0.00, 0.14]",0.70071555535367,4.347208106135868,0.7936500897537047,633.9020013070486,107,107,True
planted,local_ess_gate,0.4,194,True,False,x0>0.5,"[0.43, 0.57]",0.49571576057957606,30.963493160203157,0.2973783244939863,633.9020013070486,107,61,True
planted,simultaneous_ci,0.4,194,False,False,x0>0.5,"[0.00, 0.14]",0.70071555535367,4.347208106135868,0.7936500897537047,633.9020013070486,107,107,True
null,naive_max,0.4,195,True,False,x1>1.5 & x2>1,"[0.57, 0.71]",0.6901837207032474,2.106564683860014,1.1478758029248215,604.928918491849,116,116,False
null,global_ess_gate,0.4,195,True,False,x1>1.5 & x2>1,"[0.57, 0.71]",0.6901837207032474,2.106564683860014,1.1478758029248215,604.928918491849,116,116,False
null,local_ess_gate,0.4,195,False,False,x1>0.5,"[0.29, 0.43]",0.17779561487328457,22.430286810988473,0.35177493155621264,604.928918491849,116,63,False
null,simultaneous_ci,0.4,195,False,False,x1>1.5 & x2>1,"[0.57, 0.71]",0.6901837207032474,2.106564683860014,1.1478758029248215,604.928918491849,116,116,False
planted,naive_max,0.4,195,True,False,x0>0.5,"[0.00, 0.14]",0.6907698148176258,20.21291277871685,0.37056794545951066,604.928918491849,116,116,True
planted,global_ess_gate,0.4,195,True,False,x0>0.5,"[0.00, 0.14]",0.6907698148176258,20.21291277871685,0.37056794545951066,604.928918491849,116,116,True
planted,local_ess_gate,0.4,195,True,False,x0>0.5,"[0.00, 0.14]",0.6907698148176258,20.21291277871685,0.37056794545951066,604.928918491849,116,63,True
planted,simultaneous_ci,0.4,195,True,False,x0>0.5,"[0.00, 0.14]",0.6907698148176258,20.21291277871685,0.37056794545951066,604.928918491849,116,116,True
null,naive_max,0.4,196,True,False,x0>1.5,"[0.29, 0.43]",0.3078802626291965,5.113012414360416,0.7318058241704161,641.1259338018849,107,107,False
null,global_ess_gate,0.4,196,True,False,x0>1.5,"[0.29, 0.43]",0.3078802626291965,5.113012414360416,0.7318058241704161,641.1259338018849,107,107,False
null,local_ess_gate,0.4,196,True,False,x0<-0.5,"[0.57, 0.71]",0.20456013327772848,37.61693874468619,0.26980038197717077,641.1259338018849,107,62,False
null,simultaneous_ci,0.4,196,False,False,x0>1.5,"[0.29, 0.43]",0.3078802626291965,5.113012414360416,0.7318058241704161,641.1259338018849,107,107,False
planted,naive_max,0.4,196,True,False,x0>1.5 & x1>1,"[0.00, 0.14]",0.9004362481471408,4.153078952431652,0.8119872155070739,641.1259338018849,107,107,False
planted,global_ess_gate,0.4,196,True,False,x0>1.5 & x1>1,"[0.00, 0.14]",0.9004362481471408,4.153078952431652,0.8119872155070739,641.1259338018849,107,107,False
planted,local_ess_gate,0.4,196,True,False,x0>1,"[0.14, 0.29]",0.7235737073888594,21.541151599188822,0.356533076408242,641.1259338018849,107,62,False
planted,simultaneous_ci,0.4,196,True,False,x0>1 & x1>1,"[0.00, 0.14]",0.8987978333087177,6.626120883820566,0.6428425391106335,641.1259338018849,107,107,False
null,naive_max,0.4,197,True,False,x1>1.5,"[0.57, 0.71]",0.2997299212944972,6.5509967512118585,0.647530015077027,646.4924691861862,109,109,False
null,global_ess_gate,0.4,197,True,False,x1>1.5,"[0.57, 0.71]",0.2997299212944972,6.5509967512118585,0.647530015077027,646.4924691861862,109,109,False
null,local_ess_gate,0.4,197,False,False,x0<-0.5,"[0.29, 0.43]",0.15143900642759056,32.555391444788064,0.29047056892880746,646.4924691861862,109,65,False
null,simultaneous_ci,0.4,197,False,False,x1>1.5,"[0.57, 0.71]",0.2997299212944972,6.5509967512118585,0.647530015077027,646.4924691861862,109,109,False
planted,naive_max,0.4,197,True,False,x0>1.5,"[0.29, 0.43]",0.6420124591487825,9.067635429215002,0.5503849766280211,646.4924691861862,109,109,False
planted,global_ess_gate,0.4,197,True,False,x0>1.5,"[0.29, 0.43]",0.6420124591487825,9.067635429215002,0.5503849766280211,646.4924691861862,109,109,False
planted,local_ess_gate,0.4,197,True,False,x0>0.5,"[0.00, 0.14]",0.5641010624648511,44.961879258822,0.24716750215263592,646.4924691861862,109,65,True
planted,simultaneous_ci,0.4,197,True,False,x0>1,"[0.29, 0.43]",0.611349510161967,18.727097813141715,0.38298199468447264,646.4924691861862,109,109,False
null,naive_max,0.4,198,True,False,x0>1.5,"[0.14, 0.29]",0.23232976986223622,6.193984589274146,0.6627433492661171,649.0448890501715,103,103,False
null,global_ess_gate,0.4,198,True,False,x0>1.5,"[0.14, 0.29]",0.23232976986223622,6.193984589274146,0.6627433492661171,649.0448890501715,103,103,False
null,local_ess_gate,0.4,198,False,False,x2<-0.5,"[0.71, 0.86]",0.17094086770840933,23.447287188873165,0.34063097453610797,649.0448890501715,103,62,False
null,simultaneous_ci,0.4,198,False,False,x0>1.5,"[0.14, 0.29]",0.23232976986223622,6.193984589274146,0.6627433492661171,649.0448890501715,103,103,False
planted,naive_max,0.4,198,True,False,x0>0.5,"[0.00, 0.14]",0.6688643505635169,39.61595647434745,0.2620567589848079,649.0448890501715,103,103,True
planted,global_ess_gate,0.4,198,True,False,x0>0.5,"[0.00, 0.14]",0.6688643505635169,39.61595647434745,0.2620567589848079,649.0448890501715,103,103,True
planted,local_ess_gate,0.4,198,True,False,x0>0.5,"[0.00, 0.14]",0.6688643505635169,39.61595647434745,0.2620567589848079,649.0448890501715,103,62,True
planted,simultaneous_ci,0.4,198,True,False,x0>0.5,"[0.00, 0.14]",0.6688643505635169,39.61595647434745,0.2620567589848079,649.0448890501715,103,103,True
null,naive_max,0.4,199,True,False,x0>1.5,"[0.43, 0.57]",0.43254389774467383,7.46849390224089,0.6020310797633561,620.8342921824785,100,100,False
null,global_ess_gate,0.4,199,True,False,x0>1.5,"[0.43, 0.57]",0.43254389774467383,7.46849390224089,0.6020310797633561,620.8342921824785,100,100,False
null,local_ess_gate,0.4,199,True,False,x0>1,"[0.43, 0.57]",0.21689347360747543,27.776973113423107,0.3121712967043288,620.8342921824785,100,56,False
null,simultaneous_ci,0.4,199,False,False,x0>1.5,"[0.43, 0.57]",0.43254389774467383,7.46849390224089,0.6020310797633561,620.8342921824785,100,100,False
